Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q2,UID
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Quarterly,4.3.2 Number of Breaking New Ground (BNG) houses delivered.,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",600,585,800,630,1000,501,1245,917,3645,2633,2633,,,,,Procurement of contractors for certain projects are still underway,,"The Q1 target of 600 not achieved (585). As this is an under-performance, please provide the reason for deviation and corrective action, as it is required and stated the DPME Quarterly Performance Guideline.","Under performance of the contractor

Severe weather conditions during May - August led to decreased performance.

many units are basically complete but electrical is outstanding and they are not regarded as PC
",,The Q2 target of 800 is not achieved (403). As this is an under-performance. Please provide the reason for deviation and corrective action.,The Municipality had to terminate the contractor because of under performance. Heavy floods and extreme weather conditions during May - July 2024 hampered optimal performance.,,"The Q3 target of 1000 not achieved (500). The reason for deviation is noted, however do to the underperformance the corrective action is required too.","
The City's procurement processes are long and this had a negative effect on the planned delivery targets.",,"No performance reported against a Q4 target of 1245. As and when data becomes available, PDO asks that the department remembers to give the reason for deviation, both for under and over performance, and where there is an under-performance to also give the corrective action.",The output is noted however not verified by National.There are cells (reason for deviation and corrective  action) not completed,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Quarterly,4.3.3 Number of serviced sites delivered.,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",177,477,481,81,163,166,3507,712,4328,1436,1436,,,,,"Construction of the 300 sites commenced in the 2023 financial year. Most of work was done in 2023 and practical completion was therefore achieved in the 1st quarter of the 2024/25 FY. 
",,"The Q1 target of 177 is exceeded (300). As this is an over-performance, please provide the reason for deviation, as it is required and stated in the DPME Quarterly Performance Guideline.",Contractor performance and severe weather conditions led to the underachievement.              ,Early intervention to avoid underachievement at the close of the reporting period. ,The Q2 target of 481 is not achieved (81). As this is an under-performance. Please provide the reason for deviation and corrective action.,,,The Q3 target of 163 exceeded (166). The PDO notes that no reason for deviation was provided and requests the department to complete the reason for deviation section.,"The Department experienced challenges with contractors on key projects and as a result had to terminate the contractor at the Hillside Project. A new contractor has since been appointed.
",,"No performance reported against a Q4 target of 3507. As and when data becomes available, PDO asks that the department remembers to give the reason for deviation, both for under and over performance, and where there is an under-performance to also give the corrective action.",The output is noted however not verified by National.There are cells (reason for deviation and corrective  action) not completed,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Quarterly,4.3.6 Number of beneficiaries earning between R0 – R3 500 per month provided with subsidies through the Individual Subsidy (Non-Credit Linked) Programme,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",25,79,25,127,25,244,25,87,100,537,537,,,,,The Department experienced a higher demand of non-credit linked subsidies during the period under review,,The Q1 target of 25 exceeded(80). The PDO notes the reason for deviation and the corrective action is not required.,A management decision was taken to accelerate the processing of Non credit linked subsidies,,The Q2 target of 25 is not achieved (0). As this is an under-performance. Please provide the reason for deviation and corrective action., The Department experienced a high demand of non-credit linked subsidies during the period under review ,,The Q3 target of 25 exceeded (229). The reason for deviation is noted and corrective action not required., The Department made a decision to accelerate the processing of non-credit linked subsidies ,,"The Q4 target of 25, exceeded (76). The PDO notes the reason for deviation and corrective action not required.",,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Quarterly,4.3.7 Number of housing units delivered under the Developer Driven Individual Subsidy Programme (DDISP).,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",25,130,25,49,25,100,25,0,100,279,279,,,,,,,The Q1 target of 25 exceeded(130). The PDO notes the reason for deviation and the corrective action is not required.,Over performance due to                                   1) no issues on site                                2) Labourers have learned to improve their skills                        3) contractor long on project and has established himself                             4) no cash flow problems,,"The Q2 target of 25 is exceeded (49). The reason for deviation in this instance is required, though not the corrective action.","The contractor, and their subcontractors, have gained valuable skills and experience how to construct these units at a fast pace. After being on site for about 10 years, the risk is steadily decreasing because the performance, experience and other factors show a positive impact on site. It was anticipated that the heavy annual floods would hamper the performance, but the project has recovered.",,The Q3 target of 25 exceeded (100). The PDO notes that no reason for deviation was provided and requests the department to complete the reason for deviation section.,"Annual target achieved! Project phase completed during Q3, therefore no delivery in Q4.",,"The Q4 target of 25 not achieved (0). The PDO notes the reason for deviation, however, due to the under-achievement, the reason for deviation is required. Additionally, the PDO also notes that the annual target of 100 has been achieved in Q3 already, but this needs to be taken into consideration when setting targets going forward.",,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.4 Human Settlements Asset Management,Quarterly,4.4.1 Number of pre-1994 title deeds registered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",100,501,150,258,100,413,150,115,500,1287,1287,,,,,"City of Cape Town continued its trajectory of last financial year with increased transfers as a result of its service provider.
",,"The Q1 target of 100 is exceeded (375). As this is an over-performance, please provide the reason for deviation, as it is required and stated in the DPME Quarterly Performance Guideline.","Overachieved as the City of Cape Town achieved a number of targets during the quarter and this was supplemented with transfers in all municipalities
",,The Q2 target of 150 is exceeded (258). Please provide the reason for deviation.,"The overachievement is a result of engagements between Stellenbosch Municipality, City of Cape Town and Project Managers.",,The Q3 target of 100 exceeded (415). The reason for deviation is noted and corrective action not required.,"The performance has dropped from the overall trajectory as a result of Municipal planning requiring Town planning, studies and assessments if the township register has not been opened.",,"The Q4 target of 150 is not achieved (115). The PDO notes the reason for deviation, however, due to the under-performance, the corrective action is required.",The output is noted however not verified by National.There are cells (reason for deviation and corrective  action) not completed,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.4 Human Settlements Asset Management,Quarterly,4.4.2 Number of post-1994 title deeds registered ,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",VIP 4: Mobility and Spatial Transformation,"The Economic Sectors, Employment and Infrastructure Development cluster",375,,500,,12,38,13,8,900,46,329,There has been a marked downward delivery of Title Deeds in this section due to unresolved Township establishment processes.,,,On Target,In-Year change,,,,,,"The target was reduced during the in year changes process as a result of budget cuts at the mid year. 


",,The Q3 target of 12 exceeded (38). The reason for deviation is noted and corrective action not required.,There has been a marked downward delivery of Title Deeds in this section due to unresolved Township establishment processes.,,"The Q4 target of 13 is not achieved (8). The PDO notes the reason for deviation, however, due to the under-performance, the corrective action is required.",,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.4 Human Settlements Asset Management,Quarterly,4.4.2 Number of post-1994 title deeds registered.,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",375,254,500,29,200,,425,,1500,283,0,,,,,There was not much movement on the post 1994 projects in terms of transfers,,"The Q1 target of 375 not achieved (240). As this is an under-performance, please provide the reason for deviation and corrective action, as it is required and stated the DPME Quarterly Performance Guideline.","The poor showing against the target is mainly as a result of the funding for the TRP not being released. This placed fiscal constraints on the Municipalities to deliver.
",,The Q2 target of 500 is not achieved (29). The reason for deviation is not provided as well as the corrective action. Please ensure this is added.,,,"The PDO notes that no performance was reported against the 200 target for Q3. If this is due to performance figures not being available, the departments needs to remember to update the performance before HOD signs off. On the other hand, of performance is reported against the target, the reason for deviation and corrective action needs to be recorded.",,,"Indicator target reduced from 1500 to 900 (Annual target) and 425 to 13 (Q4 target), see comment below.",The output is noted however not verified by National.There are cells (reason for deviation and corrective  action) not completed,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.4 Human Settlements Asset Management,Quarterly,4.4.3 Number of post 2014 title deeds registered.,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",250,810,250,288,250,183,250,51,1000,1332,1332,,,,,"Improvements on transfers of Langeberg, Mossel Bay and City of Cape Town (Delft) as projects reached transfer stages.",,"The Q1 target of 250 is exceeded (556). As this is an over-performance, please provide the reason for deviation, as it is required and stated in the DPME Quarterly Performance Guideline.","The overachievement is nominal and in line with the continued pressure to close out projects within HSDG funding approval.
",,The Q2 target of 250 is exceeded (288). The reason for deviation is not provided. Please ensure to insert the reason for deviation. The corrective action in this instance is not required.,"The underperformance is approximately 27%, and the overall annual target has been achieved. ",,"The Q3 target of 250 not achieved (250). The reason for deviation is noted, however due to the under-performance, the corrective action is required.",HSDG budget reduction in the Quarter 4,,"The Q4 target of 250 is not achieved (51). The PDO notes the reason for deviation, however, due to the under-performance, the corrective action is required.",The output is noted however not verified by National.There are cells (reason for deviation and corrective  action) not completed,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.4 Human Settlements Asset Management,Quarterly,4.4.4 Number of new title deeds registered.,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",100,194,150,115,100,179,150,32,500,520,520,HSDG budget reduction in the Quarter 4,,,,Improvements in Vredendal being registered in the Deeds Office and consistent transfers in the Delft area by the City of Cape Town,,"The Q1 target of 100 not achieved (15). As this is an under-performance, please provide the reason for deviation and corrective action, as it is required and stated the DPME Quarterly Performance Guideline.","The underachievement was due to certain transfers not being verified against project approvals.
",,The Q2 target of 150 is not achieved (115). The reason for deviation is not provided as well as the corrective action. Please ensure this is added.,The overachievement is a result of engagements between Local Municipalities and Project Managers.,,The Q3 target of 100 exceeded (179). The reason for deviation is noted and corrective action not required.,HSDG budget reduction in the Quarter 4,,"The Q4 target of 150 is not achieved (32). The PDO notes the reason for deviation, however, due to the under-performance, the corrective action is required.",The output is noted however not verified by National.There are cells (reason for deviation and corrective  action) not completed,50
Public Works,Public Works,Western Cape,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,1.3.1 Number of strategic reports compiled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,1.3.2 Number of Participants in the Professional Development Programme (PDP),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,30,30,30,30,30,,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,1.3.3 Number of new Masakh’iSizwe Bursary Programme beneficiaries,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,50,41,50,41,41,"The target of 50 new beneficiaries was met as the applicant(s) accepted the offer; however, after registration, they inform us late that they are declining.",,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.2: Planning,Annually,2.2.2 Number of employees enrolled with the Green Building Council of South Africa (GBCSA) Academy for certified professional training,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 5: Innovation and Culture,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10,17,10,17,17,The Department received more applicants than anticipated.,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.2: Planning,Quarterly,2.2.1 Number of work opportunities created by Provincial Public Works and Infrastructure,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",112,0,306,541,103,160,104,56,625,757,757,,,,,"The Department is still in the process of capturing work opportunities on the EWPRS. Performance information for this indicator will be updated at year end, during the reconciliation of the performance information for purposes of the Annual Report.
",,The Q1 target of 112 achieved (275). The PDO notes the reason for deviation and corrective action not required.,The overperformance is due to the award of new cleaning contracts in July.,None needed at this stage. ,The Q2 target of 306 is exceeded (503). The PDO notes the reason for deviation and the corrective action is not required.,"Contracts are set up at the beginning of the year to meet the annual target. As staff leave and new staff are employed, so the number of work opportunities increases, exceeding the annual target.",,The Q3 target of 103 exceeded (1083). The reason for deviation is noted and corrective action not required.,"The Department is in the process of capturing work opportunities on the EWPRS. Performance information for this indicator will be updated at year end, during the reconciliation of the performance information for purposes of the Annual Report.",,The Q4 target of 104 is exceeded (625). The PDO notes that no reason for deviation was stated. The department is asked to insert that reason before the HOD signs off on the system.,,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.3: Design,Quarterly,2.3.1 Number of infrastructure designs ready for tender,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",1,6,5,3,3,5,2,3,11,17,17,User Department obtained funding to implement ad hoc request; then added as an extra project.,,,,"Four (4) projects from Quarters 2 and 3 went on tender early. 
",,The Q1 target of 1 achieved (6). The PDO notes the reason for deviation and corrective action not required.,No targets due to late submission of IPMP by WCED to DOI and projects tendered earlier in Quarter 1.,None required at this stage. ,"The Q2 target of 5 not achieved (3). The PDO notes the reason for deviation. However due to the under-achievement of the target, the corrective action is required.",Target met and exceeded,,"The Q3 target of 3 exceeded (5). The reason for deviation is noted, however it does not explain what the reasons are not the target being exceeded. Further, the corrective action is not required.","User Department obtained funding to implement ad hoc request, which resulted in an additional project being added. ",,"The Q4 target of 2, exceeded (3). The PDO notes the reason for deviation and the corrective action is not required.",,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.4: Construction,Quarterly,2.4.1 Number of new construction projects completed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",4,3,4,4,1,7,0,0,9,14,14,,,,,"Two projects  experienced delays due to a fire. In addition, poor contractor performance contributed to the underachievement. 
",,"The Q1 target of 4 not achieved (3). The PDO notes the reason for deviation, however due to the under-performance, the corrective action is required.",Achievement is on target. No further action required. ,Achievement is on target. No further action required. ,The target of 4 achieved (4). The reason for deviation and corrective action not required.,Target exceeded,,"The Q3 target of 1 exceeded (7). The reason for deviation is noted, however it does not explain what the reasons are not the target being exceeded. Further, the corrective action is not required.",IPMP from WCED delivered late - no targets set at time of APP compilation.,,"No target set for Q4, hence no performance reported.",,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.5: Maintenance,Quarterly,2.5.1 Number of planned maintenance projects (refurbished/renovated) completed.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",6,8,9,14,8,9,4,6,27,37,37,Additional Urgent maintenance projects at CYCC's were awarded and completed during the quarter,,,,"No targets due to late submission of IPMP by WCED to the DOI. One Quarter 2 project completed early. 
",,The Q1 target of 6 is achieved (8). The PDO notes the reason for deviation and the corrective action is not required.,Contractors could not provide a reliable programme to indicate completion of works and therefore the additional targets were not included in the initial annual target as the projects was at risk,,The Q2 target of 9 is exceeded (14). The PDO notes the reason for deviation and the corrective action is not required.,"Marginal overachievement. 

",,The Q3 target target of 8 exceeded (9). The PDO notes the reason for deviation and corrective action not required.,Additional Urgent maintenance projects at CYCC's were awarded and completed during the reporting quarter. ,,"The Q4 target of 4, exceeded (6). The PDO notes the reason for deviation and corrective action is not required.",,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.5: Maintenance,Quarterly,2.5.2 Number of planned maintenance projects awarded,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",6,3,5,5,8,3,9,15,28,26,26,,,,,"Delays with completion of work packages
",,"The Q1 target of 6 not achieved (3). The PDO notes the reason for deviation, however due to the under-performance, the corrective action is required.",Target achieved. No further action required. ,Target achieved. No further action required. ,the Q2 target of 5 is achieved (5). The reason for deviation and corrective action is not required.,"Delays in compiling work packages have been caused by several factors, including PSP corrections, scope re-evaluation, bid specification reviews, document revisions, and reliance on PSP input. 

",,"The Q3 target of 8 not achieved (3). The PDO notes the reason for deviation, however due to the underperformance the corrective action is required.",Due to additional Urgent maintenance projects at CYCC's awarded.,,"The Q4 target of 9, exceeded (16). The PDO notes the reason for deviation and corrective action is not required.",,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Annually,2.6.1 Number of facilities provided,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1738,1673,1738,1673,1673,"The deviation reflects the roll up of different facility components (buildings, etc) linked to individual land assets (as per the previous manual IAR) and counted as such in determining the planned target, into facility envelopes, inclusive of the linked components, (as per the IAR on the eMerge system), which was used to determine the achieved target.",,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Annually,2.6.2 Number of utilisation inspections conducted for office accommodation,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,37,36,37,36,36,Office accommodation in one of the leased buildings was vacated on 31 December 2024.,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Annually,2.7.1 Number of condition assessments conducted on state-owned buildings,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,1076,,,,1076,,0,,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Annually,2.7.1 Number of condition assessments conducted on state-owned buildings,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,743,803,743,803,803,Improved performance by the inspectorate team with vacant posts being filled,,,Higher than target,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.1: Programme Support Transport Infrastructure,Annually,3.1.1 Number of consolidated infrastructure plans developed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 1: Safe and Cohesive Communities,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.1: Programme Support Transport Infrastructure,Annually,3.1.2 Number of kilometres of surfaced roads visually assessed as per the applicable Technical Methods for Highways (TMH) manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,7146,7177.87,7146,7177.87,7177.87,"The difference between the planned and actual figures is due to gravel roads being upgraded to surfaced roads, and active projects being completed to allow for inspections, which increased the total length of surfaced roads in 2024. As a result, the surfaced road visual assessment total also increased for 2024, leading to the overperformance of this indicator.",,,,,,,,,,,,,,,,,50
